Status,Titre,Détails,Auteurs,Publication,Pages,Domaine,Langue,Maison d'édition,Format,Acheté chez,Date de l'ajout,Auteur 1,Etat,Auteur,Genre,Naissance,Mort,Pays,Pays 2,Continent,Country,Code
o,Flatland,0,"Abbott, Edwin A.",1884.0,176,Roman,Anglais,Oxford University Press,epub,Google Play,2016-01-31,"Abbott, Edwin A.",m,"Abbott, Edwin A.",M,1838.0,1926.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"charlatans de la santé, Les",0,"Abgrall, Jean-Marie",1998.0,252,Sociologie,Français,Payot,Aucun,Aucun,2014-02-28,"Abgrall, Jean-Marie",o,"Abgrall, Jean-Marie",M,1950.0,,France,,Europe,France,FRA
o,Histoire des Juifs,De la Genèse à nos jours,"Abitbol, Michel",2013.0,933,"Histoire, Religion, Proche-Orient, Europe",Français,Perrin,epub,Google Play,2018-11-24,"Abitbol, Michel",o,"Abitbol, Michel",M,1943.0,,Maroc,France,Afrique,Morocco,MAR
o,"homme à l'oreille cassée, L'",0,"About, Edmond",1862.0,126,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"About, Edmond",m,"About, Edmond",M,1828.0,1885.0,France,,Europe,France,FRA
o,"nez d'un notaire, Le ",0,"About, Edmond",1862.0,224,Roman,Français,Bibebook,Aucun,Aucun,2022-04-24,"About, Edmond",m,"About, Edmond",M,1828.0,1885.0,France,,Europe,France,FRA
o,Sex Sleep Eat Drink Dream,A day in the life of your body,"Ackerman, Jennifer",2007.0,272,Médecine,Anglais,Scribe Publications,Prêt,Scribd,2019-11-10,"Ackerman, Jennifer",o,"Ackerman, Jennifer",F,1959.0,,États-Unis,,Amérique,United States,USA
o,London,The Biography,"Ackroyd, Peter",2000.0,848,"Histoire, Royaume-Uni",Anglais,Anchor Books,Aucun,Aucun,2014-02-28,"Ackroyd, Peter",o,"Ackroyd, Peter",M,1949.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Parodie, La",0,"Adamov, Arthur",1947.0,178,Théâtre,Français,Gallimard,Aucun,Aucun,2014-02-28,"Adamov, Arthur",m,"Adamov, Arthur",M,1908.0,1970.0,Russie,France,Europe,Russia,RUS
o,"Life, the Universe and Everything",0,"Adams, Douglas",1982.0,240,Fantasy,Anglais,Pan Macmillan,Prêt,Scribd,2018-10-28,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,Mostly Harmless,0,"Adams, Douglas",1992.0,272,Fantasy,Anglais,Pan Macmillan,Prêt,Scribd,2018-10-28,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Restaurant at the End of the Universe, The ",0,"Adams, Douglas",1980.0,224,Fantasy,Anglais,Pan Macmillan,Prêt,Scribd,2018-10-28,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"So Long, and Thanks for All the Fish",0,"Adams, Douglas",1984.0,208,Fantasy,Anglais,Pan Macmillan,Prêt,Scribd,2018-10-28,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,Dirk Gently's Holistic Detective Agency,0,"Adams, Douglas",1987.0,256,Fantasy,Anglais,Pan Books,Prêt,Scribd,2018-10-26,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Hitchhiker's Guide to the Galaxy, The ",0,"Adams, Douglas",1978.0,224,Fantasy,Anglais,Pan Macmillan,epub,Google Play,2014-06-27,"Adams, Douglas",m,"Adams, Douglas",M,1952.0,2001.0,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Keys of Egypt, The ",The Race to Read the Hieroglyphs,"Adkins, Roy & Adkins, Lesley",2000.0,352,Linguistique,Anglais,HarperCollins,Papier,Librairie,2014-02-28,"Adkins, Roy",o,"Adkins, Roy",M,1951.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,Contes russes et ukrainiens,0,"Afanassiev, Alexandre & Vovtchok, Marko",1850.0,203,Conte,Français,Hachette,Papier,Librairie,2014-02-28,"Afanassiev, Alexandre",m,"Afanassiev, Alexandre",M,1826.0,1871.0,Russie,,Europe,Russia,RUS
o,Léviathan,0,"Akounine, Boris",1998.0,234,Policier,Français,Presses de la Cité,epub,Chapitre,2017-01-07,"Akounine, Boris",o,"Akounine, Boris",M,1956.0,,Géorgie,,Asie,Georgia,GEO
o,Missions spéciales,Le Valet de pique; Le Décorateur,"Akounine, Boris",1999.0,327,Policier,Français,Presses de la Cité,epub,Chapitre,2017-01-07,"Akounine, Boris",o,"Akounine, Boris",M,1956.0,,Géorgie,,Asie,Georgia,GEO
o,Azazel,0,"Akounine, Boris",1998.0,230,Policier,Français,Presses de la Cité,epub,Chapitre,2016-12-04,"Akounine, Boris",o,"Akounine, Boris",M,1956.0,,Géorgie,,Asie,Georgia,GEO
o,"Gambit turc, Le ",0,"Akounine, Boris",1998.0,210,Policier,Français,Presses de la Cité,epub,Chapitre,2016-12-04,"Akounine, Boris",o,"Akounine, Boris",M,1956.0,,Géorgie,,Asie,Georgia,GEO
o,"Magicienne, La ",0,Akutagama Ryunosuke,1919.0,207,Nouvelle,Français,Philippe Picquier,epub,Feedbooks,2016-07-19,Akutagama Ryunosuke,m,Akutagama Ryunosuke,M,1892.0,1927.0,Japon,,Asie,Japan,JPN
o,Taxi,0,"Al Khamissi, Khaled",2006.0,187,Roman,Français,Actes Sud,Aucun,Aucun,2014-02-28,"Al Khamissi, Khaled",o,"Al Khamissi, Khaled",M,1962.0,,Égypte,,Afrique,Egypt,EGY
o,"Grand Meaulnes, Le ",0,Alain-Fournier,1913.0,224,Roman,Français,Livre de Poche,epub,Google Play,2014-05-17,Alain-Fournier,m,Alain-Fournier,M,1886.0,1914.0,France,,Europe,France,FRA
o,Histoire du Front National,0,"Albertini, Dominique & Doucet, David",2013.0,368,"Histoire, Politique, XX, France",Français,Tallandier,epub,ePagine,2014-08-09,"Albertini, Dominique",o,"Albertini, Dominique",M,1987.0,,France,,Europe,France,FRA
o,Periodic Tales,The Curious Lifes of the Elements,"Aldersey-Williams, Hugh",2011.0,442,"Science, Chimie",Anglais,Penguin,Prêt,Scribd,2019-12-24,"Aldersey-Williams, Hugh",o,"Aldersey-Williams, Hugh",M,1959.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,Anatomies,A Cultural History of the Human Body,"Aldersey-Williams, Hugh",2013.0,320,"Science, Médecine",Anglais,Penguin,epub,OrellFluessi,2019-05-05,"Aldersey-Williams, Hugh",o,"Aldersey-Williams, Hugh",M,1959.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,Panicology,0,"Aldersey-Williams, Hugh & Briscoe, Simon",2009.0,304,Sociologie,Anglais,Penguin,epub,OrellFluessi,2019-05-05,"Aldersey-Williams, Hugh",o,"Aldersey-Williams, Hugh",M,1959.0,,Royaume-Uni,,Europe,United Kingdom,GBR
o,"Castafiore, La ",Biographie non autorisée !,"Algoud, Albert",2006.0,141,"Littérature, Bande dessinée, Tintin",Français,Chiflet & Cie,Papier,Librairie,2014-02-28,"Algoud, Albert",o,"Algoud, Albert",M,1959.0,,France,,Europe,France,FRA
o,Petit dictionnaire énervé de Tintin,0,"Algoud, Albert",2010.0,214,"Littérature, Bande dessinée, Tintin",Français,Éditions de l'Opportun,epub,Payot,2014-02-28,"Algoud, Albert",o,"Algoud, Albert",M,1959.0,,France,,Europe,France,FRA
o,"Divine Comédie, La ","L'Enfer, Le Purgatoire, Le Paradis","Alighieri, Dante",1321.0,628,Poésie,Français,Flammarion,Papier,Librairie,2014-02-28,"Alighieri, Dante",m,"Alighieri, Dante",M,1265.0,1321.0,Italie,,Europe,Italy,ITA
o,À l'oeil,0,"Allais, Alphonse",1905.0,206,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
o,"affaire Blaireau, L'",0,"Allais, Alphonse",1898.0,96,Policier,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
o,Deux et deux font cinq,0,"Allais, Alphonse",1895.0,226,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
o,Ne nous frappons pas,0,"Allais, Alphonse",1900.0,195,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
o,"parapluie de l’escouade, Le ",0,"Allais, Alphonse",1893.0,217,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
o,Pour cause de fin de bail,0,"Allais, Alphonse",1899.0,136,Nouvelle,Français,Bibebook,Aucun,Aucun,2022-04-24,"Allais, Alphonse",m,"Allais, Alphonse",M,1854.0,1905.0,France,,Europe,France,FRA
